Phylo,Family,Order,Scientific_name,Mass
Sitta_whiteheadi,Sittidae,Passeriformes,Sitta whiteheadi,11.8
Cyanocorax_heilprini,Corvidae,Passeriformes,Cyanocorax heilprini,172
Coturnix_delegorguei,Phasianidae,Galliformes,Coturnix delegorguei,76
Chalybura_urochrysia,Trochilidae,Apodiformes,Chalybura urochrysia,6.4
Cacomantis_heinrichi,Cuculidae,Cuculiformes,Cacomantis heinrichi,35.8
Zosterops_griseotinctus,Zosteropidae,Passeriformes,Zosterops griseotinctus,14
Amazilia_beryllina,Trochilidae,Apodiformes,Amazilia beryllina,4.5
Thalassarche_steadi,Diomedeidae,Procellariiformes,Thalassarche steadi,3897.7
Euneornis_campestris,Emberizidae,Passeriformes,Euneornis campestris,16
Sylvia_melanocephala,Sylviidae,Passeriformes,Sylvia melanocephala,11.7
Prionochilus_thoracicus,Dicaeidae,Passeriformes,Prionochilus thoracicus,8.9
Pachycephala_phaionota,Pachycephalidae,Passeriformes,Pachycephala phaionota,24.8
Phylloscopus_olivaceus,Sylviidae,Passeriformes,Phylloscopus olivaceus,9.7
Myrmeciza_ruficauda,Thamnophilidae,Passeriformes,Myrmeciza ruficauda,26
Phylloscopus_humei,Sylviidae,Passeriformes,Phylloscopus humei,6
Camaroptera_superciliaris,Cisticolidae,Passeriformes,Camaroptera superciliaris,9.7
Megadyptes_antipodes,Spheniscidae,Sphenisciformes,Megadyptes antipodes,5326.2
Phylloscopus_inornatus,Sylviidae,Passeriformes,Phylloscopus inornatus,6.6
Odontophorus_leucolaemus,Odontophoridae,Galliformes,Odontophorus leucolaemus,295
Francolinus_castaneicollis,Phasianidae,Galliformes,Francolinus castaneicollis,791.5
Geothlypis_velata,Parulidae,Passeriformes,Geothlypis velata,13.1
Turdoides_longirostris,Timaliidae,Passeriformes,Turdoides longirostris,35
Crypturellus_kerriae,Tinamidae,Tinamiformes,Crypturellus kerriae,443.4
Nectarinia_ludovicensis,Nectariniidae,Passeriformes,Nectarinia ludovicensis,8.7
Asthenes_baeri,Furnariidae,Passeriformes,Asthenes baeri,17.8
Amazona_amazonica,Psittacidae,Psittaciformes,Amazona amazonica,370
Loriculus_galgulus,Psittacidae,Psittaciformes,Loriculus galgulus,28
Myadestes_genibarbis,Turdidae,Passeriformes,Myadestes genibarbis,29.2
Streptopelia_orientalis,Columbidae,Columbiformes,Streptopelia orientalis,232.9
Turdus_infuscatus,Turdidae,Passeriformes,Turdus infuscatus,72.4
Pteroglossus_aracari,Ramphastidae,Piciformes,Pteroglossus aracari,250.2
Hemitriccus_spodiops,Tyrannidae,Passeriformes,Hemitriccus spodiops,7.2
Picus_flavinucha,Picidae,Piciformes,Picus flavinucha,176.8
