Phylo,Family,Order,Scientific_name,Mass
Nectarinia_rubescens,Nectariniidae,Passeriformes,Nectarinia rubescens,10.3
Pseudoleistes_virescens,Icteridae,Passeriformes,Pseudoleistes virescens,79.9
Parus_hudsonicus,Paridae,Passeriformes,Parus hudsonicus,9.8
Melierax_poliopterus,Accipitridae,Accipitriformes,Melierax poliopterus,629.9
Temnurus_temnurus,Corvidae,Passeriformes,Temnurus temnurus,138
Heliornis_fulica,Heliornithidae,Gruiformes,Heliornis fulica,132
Strix_nigrolineata,Strigidae,Strigiformes,Strix nigrolineata,457.9
Stachyris_erythroptera,Timaliidae,Passeriformes,Stachyris erythroptera,12.6
Amaurornis_magnirostris,Rallidae,Gruiformes,Amaurornis magnirostris,250
Ficedula_henrici,Muscicapidae,Passeriformes,Ficedula henrici,14.5
Paradoxornis_margaritae,Timaliidae,Passeriformes,Paradoxornis margaritae,29
Polyplectron_germaini,Phasianidae,Galliformes,Polyplectron germaini,450
Anas_aucklandica,Anatidae,Anseriformes,Anas aucklandica,499.1
Pipra_pipra,Pipridae,Passeriformes,Pipra pipra,11.1
Sheppardia_gabela,Muscicapidae,Passeriformes,Sheppardia gabela,11
Euphonia_cayennensis,Thraupidae,Passeriformes,Euphonia cayennensis,14.3
Psittacus_erithacus,Psittacidae,Psittaciformes,Psittacus erithacus,333
Calidris_ruficollis,Scolopacidae,Charadriiformes,Calidris ruficollis,26.8
Hemignathus_parvus,Fringillidae,Passeriformes,Hemignathus parvus,9.3
Cranioleuca_curtata,Furnariidae,Passeriformes,Cranioleuca curtata,17.5
Cracticus_cassicus,Cracticidae,Passeriformes,Cracticus cassicus,142
Kupeornis_rufocinctus,Timaliidae,Passeriformes,Kupeornis rufocinctus,47
Carpodacus_cassinii,Fringillidae,Passeriformes,Carpodacus cassinii,26.5
Canirallus_oculeus,Rallidae,Gruiformes,Canirallus oculeus,277
Larus_modestus,Laridae,Charadriiformes,Larus modestus,344
Ptilinopus_occipitalis,Columbidae,Columbiformes,Ptilinopus occipitalis,238
Dicrurus_aldabranus,Dicruridae,Passeriformes,Dicrurus aldabranus,48.4
Pseudocolaptes_boissonneautii,Furnariidae,Passeriformes,Pseudocolaptes boissonneautii,43.9
Ardeotis_australis,Otididae,Otidiformes,Ardeotis australis,4182.4
Sitta_canadensis,Sittidae,Passeriformes,Sitta canadensis,9.8
Cyornis_omissus,Muscicapidae,Passeriformes,Cyornis omissus,18
Lagopus_muta,Phasianidae,Galliformes,Lagopus muta,535.3
Macropygia_unchall,Columbidae,Columbiformes,Macropygia unchall,168
Schiffornis_virescens,Cotingidae,Passeriformes,Schiffornis virescens,25.6
Pitta_erythrogaster,Pittidae,Passeriformes,Pitta erythrogaster,72.4
Rhinomyias_brunneatus,Muscicapidae,Passeriformes,Rhinomyias brunneatus,18.1
Alcedo_azurea,Alcedinidae,Coraciiformes,Alcedo azurea,34.9
Ketupa_ketupu,Strigidae,Strigiformes,Ketupa ketupu,1293
Niltava_macgrigoriae,Muscicapidae,Passeriformes,Niltava macgrigoriae,12
Schoenicola_brevirostris,Sylviidae,Passeriformes,Schoenicola brevirostris,15.7
Dicaeum_aureolimbatum,Dicaeidae,Passeriformes,Dicaeum aureolimbatum,8.1
Gecinulus_grantia,Picidae,Piciformes,Gecinulus grantia,76
Anthus_correndera,Motacillidae,Passeriformes,Anthus correndera,20.9
Cacicus_haemorrhous,Icteridae,Passeriformes,Cacicus haemorrhous,83.7
Megalaima_pulcherrima,Ramphastidae,Piciformes,Megalaima pulcherrima,65.4
Chrysococcyx_caprius,Cuculidae,Cuculiformes,Chrysococcyx caprius,32.8
Parus_hypermelaenus,Paridae,Passeriformes,Parus hypermelaenus,11.1
Chrysococcyx_xanthorhynchus,Cuculidae,Cuculiformes,Chrysococcyx xanthorhynchus,22.4
Coeligena_prunellei,Trochilidae,Apodiformes,Coeligena prunellei,7
Brachyramphus_perdix,Alcidae,Charadriiformes,Brachyramphus perdix,220
Conopophaga_lineata,Conopophagidae,Passeriformes,Conopophaga lineata,25.2
Sterna_balaenarum,Laridae,Charadriiformes,Sterna balaenarum,60
Psephotus_chrysopterygius,Psittacidae,Psittaciformes,Psephotus chrysopterygius,46.8
Carpodacus_roseus,Fringillidae,Passeriformes,Carpodacus roseus,28.6
Prinia_leontica,Cisticolidae,Passeriformes,Prinia leontica,12.4
Dryocopus_pileatus,Picidae,Piciformes,Dryocopus pileatus,286.6
Aimophila_humeralis,Emberizidae,Passeriformes,Aimophila humeralis,23.9
Basileuterus_culicivorus,Parulidae,Passeriformes,Basileuterus culicivorus,10.5
Larus_atricilla,Laridae,Charadriiformes,Larus atricilla,307.4
Schoeniophylax_phryganophilus,Furnariidae,Passeriformes,Schoeniophylax phryganophilus,18.6
Hylophilus_decurtatus,Vireonidae,Passeriformes,Hylophilus decurtatus,8.5
Loxia_pytyopsittacus,Fringillidae,Passeriformes,Loxia pytyopsittacus,53
Phylloscopus_ruficapilla,Sylviidae,Passeriformes,Phylloscopus ruficapilla,7.7
Cinnycerthia_unirufa,Troglodytidae,Passeriformes,Cinnycerthia unirufa,29.4
Mionectes_olivaceus,Tyrannidae,Passeriformes,Mionectes olivaceus,15.3
Falco_tinnunculus,Falconidae,Falconiformes,Falco tinnunculus,183.2
Trichixos_pyrropygus,Muscicapidae,Passeriformes,Trichixos pyrropygus,40.9
Turtur_tympanistria,Columbidae,Columbiformes,Turtur tympanistria,70.6
Grallaria_albigula,Formicariidae,Passeriformes,Grallaria albigula,95
Turdus_jamaicensis,Turdidae,Passeriformes,Turdus jamaicensis,59.1
