Phylo,Family,Order,Scientific_name,Mass
Cyanocitta_cristata,Corvidae,Passeriformes,Cyanocitta cristata,88
Cyanocitta_stelleri,Corvidae,Passeriformes,Cyanocitta stelleri,128
Cyanocorax_affinis,Corvidae,Passeriformes,Cyanocorax affinis,212
Cyanocorax_beecheii,Corvidae,Passeriformes,Cyanocorax beecheii,193
Cyanocorax_caeruleus,Corvidae,Passeriformes,Cyanocorax caeruleus,272
Cyanocorax_cayanus,Corvidae,Passeriformes,Cyanocorax cayanus,175
Cyanocorax_chrysops,Corvidae,Passeriformes,Cyanocorax chrysops,166
Cyanocorax_cristatellus,Corvidae,Passeriformes,Cyanocorax cristatellus,178
Cyanocorax_cyanomelas,Corvidae,Passeriformes,Cyanocorax cyanomelas,207
Cyanocorax_cyanopogon,Corvidae,Passeriformes,Cyanocorax cyanopogon,146
Cyanocorax_dickeyi,Corvidae,Passeriformes,Cyanocorax dickeyi,181
Cyanocorax_heilprini,Corvidae,Passeriformes,Cyanocorax heilprini,172
Cyanocorax_luxuosus,Corvidae,Passeriformes,Cyanocorax luxuosus,78.5
Cyanocorax_melanocyaneus,Corvidae,Passeriformes,Cyanocorax melanocyaneus,101
Cyanocorax_morio,Corvidae,Passeriformes,Cyanocorax morio,204
Cyanocorax_mystacalis,Corvidae,Passeriformes,Cyanocorax mystacalis,154.4
Cyanocorax_sanblasianus,Corvidae,Passeriformes,Cyanocorax sanblasianus,109
Cyanocorax_violaceus,Corvidae,Passeriformes,Cyanocorax violaceus,262
Cyanocorax_yncas,Corvidae,Passeriformes,Cyanocorax yncas,78.5
Cyanocorax_yucatanicus,Corvidae,Passeriformes,Cyanocorax yucatanicus,118
Cyanolyca_argentigula,Corvidae,Passeriformes,Cyanolyca argentigula,200
Cyanolyca_armillata,Corvidae,Passeriformes,Cyanolyca armillata,200
Cyanolyca_cucullata,Corvidae,Passeriformes,Cyanolyca cucullata,101.3
Cyanolyca_mirabilis,Corvidae,Passeriformes,Cyanolyca mirabilis,52.4
Cyanolyca_nana,Corvidae,Passeriformes,Cyanolyca nana,41
Cyanolyca_pulchra,Corvidae,Passeriformes,Cyanolyca pulchra,101.3
Cyanolyca_pumilo,Corvidae,Passeriformes,Cyanolyca pumilo,47
Cyanolyca_turcosa,Corvidae,Passeriformes,Cyanolyca turcosa,97.5
Cyanolyca_viridicyanus,Corvidae,Passeriformes,Cyanolyca viridicyanus,119.8
Cyanopica_cyanus,Corvidae,Passeriformes,Cyanopica cyanus,95.9
Dendrocitta_bayleyi,Corvidae,Passeriformes,Dendrocitta bayleyi,102
Dendrocitta_formosae,Corvidae,Passeriformes,Dendrocitta formosae,102.7
Dendrocitta_frontalis,Corvidae,Passeriformes,Dendrocitta frontalis,100
Dendrocitta_leucogastra,Corvidae,Passeriformes,Dendrocitta leucogastra,99.2
Dendrocitta_occipitalis,Corvidae,Passeriformes,Dendrocitta occipitalis,95.3
Dendrocitta_vagabunda,Corvidae,Passeriformes,Dendrocitta vagabunda,100
Garrulus_glandarius,Corvidae,Passeriformes,Garrulus glandarius,159.5
Garrulus_lanceolatus,Corvidae,Passeriformes,Garrulus lanceolatus,97.7
Garrulus_lidthi,Corvidae,Passeriformes,Garrulus lidthi,125
Gymnorhinus_cyanocephalus,Corvidae,Passeriformes,Gymnorhinus cyanocephalus,104.8
Nucifraga_caryocatactes,Corvidae,Passeriformes,Nucifraga caryocatactes,182.5
Nucifraga_columbiana,Corvidae,Passeriformes,Nucifraga columbiana,129.8
Perisoreus_canadensis,Corvidae,Passeriformes,Perisoreus canadensis,71.6
Perisoreus_infaustus,Corvidae,Passeriformes,Perisoreus infaustus,84.4
Perisoreus_internigrans,Corvidae,Passeriformes,Perisoreus internigrans,102
Pica_hudsonia,Corvidae,Passeriformes,Pica hudsonia,177.1
Pica_nuttalli,Corvidae,Passeriformes,Pica nuttalli,158.3
Pica_pica,Corvidae,Passeriformes,Pica pica,217.5
Platylophus_galericulatus,Corvidae,Passeriformes,Platylophus galericulatus,77.9
