"","Phylo","Family","Order","Scientific_name","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status"
"19","Formicarius_nigricapillus","Formicariidae","Passeriformes","Formicarius_nigricapillus",24.7,14.8,5.8,6.7,31.3,85.6,10.7,74.5,12.6,49.8,56.2,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",-2.29,11.02,3.11,-78.65,108463.37,"Extant"
"20","Formicarius_rufifrons","Formicariidae","Passeriformes","Formicarius_rufifrons",20.6,12.3,5.7,6.3,32.2,84,10.5,73.5,12.5,63.3,55.5,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",-13.21,-8.94,-12.34,-70.21,11729.69,"Extant"
"21","Formicarius_rufipectus","Formicariidae","Passeriformes","Formicarius_rufipectus",26.8,13.5,5.7,6.6,36.5,92,11.8,80.3,12.7,55.4,74.4,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",-13.75,10.49,-3.76,-76.3,206331.95,"Extant"
"22","Grallaria_albigula","Formicariidae","Passeriformes","Grallaria_albigula",24.2,15.5,6.9,8.1,52.8,98.3,6.2,93.3,6.1,68.2,95,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",-23.9,-12.85,-18.53,-65.95,45655.48,"Extant"
"23","Grallaria_alleni","Formicariidae","Passeriformes","Grallaria_alleni",25.7,15.6,6.6,7.5,45.7,98,17.2,80.8,17.6,42.5,70.5,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",-1.19,6.52,1.07,-77.31,8886.61,"Extant"
"24","Grallaria_andicolus","Formicariidae","Passeriformes","Grallaria_andicolus",21.3,13.6,5.6,6.8,45.5,92.9,10.8,82.2,11.8,45.2,56.3,"Forest",2,1,"Carnivore","Invertivore","Terrestrial",-15.94,-5.78,-11.17,-75.06,141026.37,"Extant"
"25","Grallaria_bangsi","Formicariidae","Passeriformes","Grallaria_bangsi",24.6,14.9,6.5,7.8,48,89.3,7.6,82,8.5,57,62,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",10.43,11.2,10.85,-73.65,5052.52,"Extant"
"26","Grallaria_blakei","Formicariidae","Passeriformes","Grallaria_blakei",20.9,11.7,5,6,44.1,81.2,6.2,75.1,7.7,41.6,42.3,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",-13.34,-5.12,-7.65,-76.99,17886.62,"Extant"
"27","Grallaria_capitalis","Formicariidae","Passeriformes","Grallaria_capitalis",23.5,13.8,6.4,8.4,45.5,91.3,8,84.3,8.6,50.4,73.7,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",-13.33,-8.94,-10.31,-75.4,12133.27,"Extant"
"28","Grallaria_carrikeri","Formicariidae","Passeriformes","Grallaria_carrikeri",25.4,15.9,7.4,10.4,59.2,107.2,7.6,100.1,7.1,63.5,109.1,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",-9.34,-5.26,-7.18,-77.3,29971.08,"Extant"
"29","Grallaria_chthonia","Formicariidae","Passeriformes","Grallaria_chthonia",26.6,16.7,5.9,8.4,42,98.5,6.6,91.9,6.7,39,94.2,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",7.52,7.75,7.63,-72.25,496.18,"Extant"
"30","Grallaria_dignissima","Formicariidae","Passeriformes","Grallaria_dignissima",27.8,16.6,8.8,10.7,55.5,100.5,9.2,94.7,8.9,32.5,110,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",-5.01,0.63,-2.35,-74.4,386285.83,"Extant"
"31","Grallaria_eludens","Formicariidae","Passeriformes","Grallaria_eludens",29.5,18.3,9.3,11.2,57.6,104.3,9.2,97.2,8.7,35.7,115,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",-13.02,-3.35,-8.13,-72.18,383522.84,"Extant"
"32","Grallaria_erythroleuca","Formicariidae","Passeriformes","Grallaria_erythroleuca",25.1,13.8,6.8,8,48.8,93.8,6.3,90.9,6.5,51.2,80,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",-13.81,-11.26,-12.61,-72.71,32694.03,"Extant"
"33","Grallaria_erythrotis","Formicariidae","Passeriformes","Grallaria_erythrotis",23.2,13.7,5.6,7.4,50,93.1,6.6,87.9,7,59.6,57,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",-17.93,-14.08,-16.22,-67.16,39088.66,"Extant"
"34","Grallaria_excelsa","Formicariidae","Passeriformes","Grallaria_excelsa",36.9,22.3,9.6,12.7,61,153.9,16.1,143.9,10.1,63.1,240.8,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",7.71,10.91,8.97,-71.26,8417.28,"Extant"
"35","Grallaria_flavotincta","Formicariidae","Passeriformes","Grallaria_flavotincta",25.7,15.1,6.8,8.3,47.5,91.5,5.9,85.6,6.4,43,63,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",-0.25,6.84,3.34,-77.02,22776.33,"Extant"
"36","Grallaria_gigantea","Formicariidae","Passeriformes","Grallaria_gigantea",39,22.8,10.8,15,65.1,149.3,13.6,134.7,9,63.9,236,"Forest",1,1,"Carnivore","Invertivore","Terrestrial",-2.45,1.44,-0.16,-78.3,13446.51,"Extant"
