"","Phylo","Family","Order","Scientific_name","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status"
"22","Doliornis_sclateri","Cotingidae","Passeriformes","Doliornis_sclateri",19,7.9,5,5.8,25.9,100,13.8,86.2,13.8,95.3,60.2,"Forest",1,1,"Herbivore","Frugivore","Insessorial",-11.68,-8,-10.1,-76.01,13019.5,"Extant"
"23","Gymnoderus_foetidus","Cotingidae","Passeriformes","Gymnoderus_foetidus",29.3,16.6,9.5,8.8,31.9,201.4,42.1,164,20.5,121.7,275.5,"Forest",2,1,"Herbivore","Frugivore","Insessorial",-17.76,7.39,-6.85,-61.56,5252269.51,"Extant"
"24","Haematoderus_militaris","Cotingidae","Passeriformes","Haematoderus_militaris",38.6,21.4,14.9,12.3,27.9,212,51.5,157.8,24.5,137.6,227,"Forest",2,1,"Carnivore","Invertivore","Insessorial",-12.51,6.97,1.18,-55.51,1043733.97,"Extant"
"25","Iodopleura_fusca","Cotingidae","Passeriformes","Iodopleura_fusca",10.9,7.4,5.9,4.4,15.6,75.8,21.2,54.6,28,37.6,15.3,"Forest",1,1,"Carnivore","Invertivore","Insessorial",0.85,7.58,4.62,-57.08,444576.7,"Extant"
"26","Iodopleura_isabellae","Cotingidae","Passeriformes","Iodopleura_isabellae",11.5,6.5,5.2,4.1,13.7,74.2,19.4,55.5,25.9,37.2,20,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-13.33,5.85,-4.75,-63.77,4495732.17,"Extant"
"27","Iodopleura_pipra","Cotingidae","Passeriformes","Iodopleura_pipra",8.2,4.5,3.6,3.5,13.9,56.6,13.7,43,24.1,32,10,"Forest",1,1,"Herbivore","Frugivore","Insessorial",-25.22,-6.7,-22.35,-44.02,130157.72,"Extant"
"28","Laniisoma_buckleyi","Cotingidae","Passeriformes","Laniisoma_buckleyi",19.6,12,6,5.6,21.5,99.8,22,77.8,22,59.6,47.1,"Forest",1,1,"Omnivore","Omnivore","Insessorial",-16.1,7.63,-6.44,-72.79,35911.33,"Extant"
"29","Laniisoma_elegans","Cotingidae","Passeriformes","Laniisoma_elegans",20.3,13.2,5.4,6.1,22.5,103.5,26.9,76.6,26,61,47.4,"Forest",1,1,"Omnivore","Omnivore","Insessorial",-25.89,-18.48,-22.35,-44.62,172527.96,"Extant"
"30","Laniocera_hypopyrra","Cotingidae","Passeriformes","Laniocera_hypopyrra",21.8,12,6.1,6.2,20.4,105.5,24.7,80.6,23.5,84.9,51,"Forest",1,1,"Carnivore","Invertivore","Insessorial",-20.16,10.48,-3.66,-62.18,6630155.4,"Extant"
"31","Laniocera_rufescens","Cotingidae","Passeriformes","Laniocera_rufescens",20.4,13.3,6,6.9,21.6,108.8,23.6,85.2,21.6,89.8,48.1,"Forest",1,1,"Carnivore","Omnivore","Insessorial",0.12,17.64,10.82,-82.42,394176.44,"Extant"
"32","Lipaugus_fuscocinereus","Cotingidae","Passeriformes","Lipaugus_fuscocinereus",29.3,15.8,10.1,9.3,29,182.2,33.6,148.7,18.5,158.2,138,"Forest",1,1,"Herbivore","Frugivore","Insessorial",-5.2,7.43,1.6,-76.47,42613.15,"Extant"
"33","Lipaugus_lanioides","Cotingidae","Passeriformes","Lipaugus_lanioides",26.1,16,8,8.3,24.6,133.8,22.8,111,17,116,94.8,"Forest",1,1,"Herbivore","Frugivore","Insessorial",-27.36,-14.44,-22.23,-44.44,201153.3,"Extant"
"34","Lipaugus_streptophorus","Cotingidae","Passeriformes","Lipaugus_streptophorus",22.7,13.8,8.6,7.3,20.2,125,26.8,98.2,21.4,95.8,57.2,"Forest",1,1,"Herbivore","Frugivore","Insessorial",4.49,6.01,5.26,-61.2,47371.38,"Extant"
"35","Lipaugus_unirufus","Cotingidae","Passeriformes","Lipaugus_unirufus",24,15,7.2,8.1,21.2,132.4,26.8,103.9,20.4,112,82.1,"Forest",1,1,"Omnivore","Frugivore","Insessorial",0.07,18.45,11.43,-83.42,462431.54,"Extant"
"36","Lipaugus_uropygialis","Cotingidae","Passeriformes","Lipaugus_uropygialis",28.4,15.9,8.4,9.2,29.6,139.6,15.7,123.9,11.3,143.7,116,"Forest",1,1,"Omnivore","Frugivore","Insessorial",-17.81,-12.04,-15.6,-67.92,15254.67,"Extant"
"37","Lipaugus_vociferans","Cotingidae","Passeriformes","Lipaugus_vociferans",26.9,13.8,8,7.3,21.4,123.1,20.9,102.1,16.9,110.2,75.4,"Forest",1,1,"Omnivore","Frugivore","Insessorial",-20.88,10.58,-4.6,-61.63,7063057.92,"Extant"
