"","Phylo","Family","Order","Scientific_name","Beak.Length_Culmen","Beak.Length_Nares","Beak.Width","Beak.Depth","Tarsus.Length","Wing.Length","Kipps.Distance","Secondary1","Hand.Wing.Index","Tail.Length","Mass","Habitat","Habitat.Density","Migration","Trophic.Level","Trophic.Niche","Primary.Lifestyle","Min.Latitude","Max.Latitude","Centroid.Latitude","Centroid.Longitude","Range.Size","Species.Status"
"339","Touit_purpuratus","Psittacidae","Psittaciformes","Touit_purpuratus",20.3,16.8,7.8,13.8,13.8,106.1,45.7,59.4,43.6,45.2,59.7,"Forest",1,2,"Herbivore","Frugivore","Insessorial",-10.07,8.49,-0.92,-60.92,3821297.27,"Extant"
"340","Touit_stictopterus","Psittacidae","Psittaciformes","Touit_stictopterus",20.9,16.5,10,15.6,12,121.8,50,71.8,41,55.8,78.8,"Forest",1,2,"Herbivore","Omnivore","Insessorial",-6.33,0.13,-3.34,-78.33,32941.14,"Extant"
"341","Touit_surdus","Psittacidae","Psittaciformes","Touit_surdus",18.9,15.6,9.7,15,10.4,116.8,48,69.7,40.9,46.8,51,"Forest",1,2,"Herbivore","Frugivore","Insessorial",-25.47,-2.89,-16.07,-40.97,98992.48,"Extant"
"342","Trichoglossus_chlorolepidotus","Psittacidae","Psittaciformes","Trichoglossus_chlorolepidotus",19.2,16.3,10.1,16.4,14.6,128.3,66.1,62.6,51.4,95.2,87.1,"Woodland",2,1,"Herbivore","Nectarivore","Insessorial",-36.77,-10.69,-24.16,148.07,1066541.06,"Extant"
"343","Trichoglossus_euteles","Psittacidae","Psittaciformes","Trichoglossus_euteles",18.4,15.3,9.7,15.8,16.3,126.2,62.8,63.5,49.7,100.6,73.7,"Forest",1,1,"Herbivore","Nectarivore","Insessorial",-10.37,-6.72,-8.98,125.22,37893.11,"Extant"
"344","Trichoglossus_flavoviridis","Psittacidae","Psittaciformes","Trichoglossus_flavoviridis",19.6,15.5,9.1,14.6,13.2,110.6,52,58.6,46.7,71.8,90.5,"Forest",1,1,"Herbivore","Omnivore","Insessorial",-5.5,1.4,-1.75,121.09,77879.77,"Extant"
"345","Trichoglossus_haematodus","Psittacidae","Psittaciformes","Trichoglossus_haematodus",22.6,19,11.3,19.2,17.9,139.5,67,74,47.5,111.7,113.3,"Forest",1,1,"Herbivore","Omnivore","Insessorial",-39.14,0.04,-18,140.92,3345071.47,"Extant"
"346","Trichoglossus_johnstoniae","Psittacidae","Psittaciformes","Trichoglossus_johnstoniae",17.1,14.2,8.8,14.3,14.4,106.1,46,60.1,43.3,66.3,55.2,"Forest",1,1,"Herbivore","Nectarivore","Insessorial",5.81,8.91,7.32,124.74,8694.55,"Extant"
"347","Trichoglossus_ornatus","Psittacidae","Psittaciformes","Trichoglossus_ornatus",23.2,18.8,10.7,18,17.4,125,60,66.5,47.4,79.2,120,"Forest",1,1,"Herbivore","Nectarivore","Insessorial",-5.71,1.76,-2.13,121.18,172993.28,"Extant"
"348","Trichoglossus_rubiginosus","Psittacidae","Psittaciformes","Trichoglossus_rubiginosus",21.9,18.7,10.8,17.7,17.1,141.2,61.5,79.7,43.5,93,77.5,"Forest",1,1,"Herbivore","Nectarivore","Insessorial",6.72,7.01,6.88,158.22,355.65,"Extant"
"349","Triclaria_malachitacea","Psittacidae","Psittaciformes","Triclaria_malachitacea",29.9,23.2,13.7,23.6,15.6,159.8,48.5,110.6,30.5,116,90,"Forest",1,1,"Herbivore","Omnivore","Insessorial",-29.84,-19.8,-27.08,-49.68,30242.84,"Extant"
"350","Vini_australis","Psittacidae","Psittaciformes","Vini_australis",15.9,11.3,6.5,10.2,14,99.2,48.7,48.3,50.4,61.4,49.5,"Forest",2,1,"Herbivore","Nectarivore","Insessorial",-20.68,-13.43,-14.66,-172.41,3674.17,"Extant"
"351","Vini_kuhlii","Psittacidae","Psittaciformes","Vini_kuhlii",16.8,11.8,6.9,10.2,17.6,118.2,55.3,62.9,46.8,63.2,40,"Forest",2,1,"Herbivore","Herbivore terrestrial","Insessorial",-22.66,-19.97,-20.59,-156.92,37.9,"Extant"
"352","Vini_peruviana","Psittacidae","Psittaciformes","Vini_peruviana",14.2,10,6.6,8.9,14.2,107.6,49.1,56.9,46.4,66.6,29,"Woodland",2,1,"Herbivore","Nectarivore","Insessorial",-16.57,-14.9,-15.3,-148.17,58.62,"Extant"
"353","Vini_stepheni","Psittacidae","Psittaciformes","Vini_stepheni",15,11.3,7.2,10.4,17.1,121.2,52,69.2,42.9,84.4,55,"Forest",1,1,"Herbivore","Omnivore","Insessorial",-24.41,-24.32,-24.36,-128.32,41.11,"Extant"
"354","Vini_ultramarina","Psittacidae","Psittaciformes","Vini_ultramarina",14.2,10.1,7.2,9.7,15.8,111,48.9,63.4,43.6,62.8,40,"Forest",1,1,"Herbivore","Omnivore","Insessorial",-8.96,-8.87,-8.91,-139.55,81.42,"Extant"
